page_a,page_b,common_words,union_words,common_pct_jaccard
acariens-chatenay-malabry,guepes-thiais,371,475,78.1053
acariens-chatenay-malabry,guepes-versailles,199,763,26.0813
acariens-chatenay-malabry,mouches-antony,385,472,81.5678
acariens-chatenay-malabry,mouches-chatenay-malabry,398,460,86.5217
acariens-chatenay-malabry,mouches-choisy-le-roi,385,470,81.9149
acariens-chatenay-malabry,mouches-orly,384,471,81.5287
acariens-chatenay-malabry,mouches-thiais,383,470,81.4894
acariens-chatenay-malabry,mouches-versailles,382,474,80.5907
acariens-chatenay-malabry,punaises-de-lit-antony,253,748,33.8235
acariens-chatenay-malabry,punaises-de-lit-arcueil,258,756,34.127
acariens-chatenay-malabry,punaises-de-lit-cachan,220,804,27.3632
acariens-chatenay-malabry,punaises-de-lit-chatenay-malabry,267,758,35.2243
acariens-chatenay-malabry,punaises-de-lit-choisy-le-roi,386,462,83.5498
acariens-chatenay-malabry,punaises-de-lit-clamart,260,762,34.1207
acariens-chatenay-malabry,punaises-de-lit-fresnes,216,776,27.8351
acariens-chatenay-malabry,punaises-de-lit-gentilly,260,757,34.3461
acariens-chatenay-malabry,punaises-de-lit-le-kremlin-bicetre,258,753,34.2629
acariens-chatenay-malabry,punaises-de-lit-lhay-les-roses,216,798,27.0677
acariens-chatenay-malabry,punaises-de-lit-orly,385,463,83.1533
acariens-chatenay-malabry,punaises-de-lit-thiais,384,462,83.1169
acariens-chatenay-malabry,punaises-de-lit-versailles,384,466,82.4034
acariens-chatenay-malabry,rats-arcueil,259,755,34.3046
acariens-chatenay-malabry,rats-cachan,235,815,28.8344
acariens-chatenay-malabry,rats-fresnes,223,776,28.7371
acariens-chatenay-malabry,rats-gentilly,261,756,34.5238
acariens-chatenay-malabry,rats-le-kremlin-bicetre,259,752,34.4415
acariens-chatenay-malabry,rats-lhay-les-roses,222,767,28.9439
acariens-chatenay-malabry,souris-arcueil,259,755,34.3046
acariens-chatenay-malabry,souris-cachan,216,796,27.1357
acariens-chatenay-malabry,souris-fresnes,220,775,28.3871
acariens-chatenay-malabry,souris-gentilly,261,756,34.5238
acariens-chatenay-malabry,souris-le-kremlin-bicetre,259,752,34.4415
acariens-chatenay-malabry,souris-lhay-les-roses,227,771,29.4423
